Edad,Sexo,IngTotalPrin,IngLiquiPrin,IngTotalSecun,IngLiquiSecun,HorasTrabajadasPrin,HorasTrabajadasSecun,montogeneral,HorasTrabajadasTotal,clustPT
30,Hombre,900,900,100,100,48,8,1000,56,1
26,Hombre,1200,1200,700,700,24,40,1900,64,1
46,Hombre,4850,1844,1755,1755,36,7,3599,43,2
30,Mujer,1400,1400,320,320,48,12,1720,60,1
35,Hombre,680,680,640,640,24,32,1320,56,1
21,Hombre,200,200,30,30,30,4,230,34,1
50,Hombre,930,810,930,930,24,36,1740,60,2
40,Hombre,1400,1400,140,140,84,28,1540,112,2
62,Mujer,950,950,70,70,20,6,1020,26,2
25,Mujer,215,215,30,30,69,2,245,71,1
45,Mujer,600,600,300,300,48,30,900,78,2
22,Hombre,1300,1300,100,100,66,9,1400,75,1
30,Hombre,1300,1140,400,400,48,10,1540,58,1
21,Hombre,300,300,200,200,44,5,500,49,1
44,Mujer,120,120,720,720,18,18,840,36,2
42,Mujer,720,720,480,480,20,20,1200,40,2
33,Mujer,230,230,240,240,50,18,470,68,1
56,Hombre,8000,6160,3800,3800,42,8,9960,50,2
56,Mujer,8000,6160,2000,2000,35,7,8160,42,2
27,Mujer,150,150,350,350,24,12,500,36,1
42,Hombre,600,600,200,200,24,4,800,28,2
54,Hombre,1500,1500,850,850,15,6,2350,21,2
40,Mujer,850,850,86,86,60,7,936,67,2
42,Hombre,210,210,400,400,33,8,610,41,1
24,Hombre,1000,1000,100,100,44,18,1100,62,1
26,Hombre,4500,4500,693,693,36,24,5193,60,1
36,Mujer,6000,5220,2500,2500,40,48,7720,88,2
16,Hombre,80,80,310,310,9,46,390,55,1
23,Hombre,2200,1914,210,210,45,6,2124,51,1
18,Hombre,90,90,260,260,12,17,350,29,1
26,Hombre,400,400,1900,1900,15,30,2300,45,1
43,Mujer,1500,1500,500,500,32,24,2000,56,2
46,Hombre,6500,2820,6000,6000,66,1,8820,67,2
42,Mujer,300,300,200,200,48,4,500,52,1
31,Mujer,20,20,40,40,4,2,60,6,1
17,Hombre,150,150,100,100,32,16,250,48,1
51,Hombre,8000,5500,1500,1300,40,10,6800,50,2
22,Mujer,300,300,500,500,20,30,800,50,1
56,Hombre,8000,3760,2900,2900,36,40,6660,76,2
